,Date (Monthly),"Coffee Arabica 
($/kg)"
1,1/1/1960,0.9409
2,2/1/1960,0.9469
3,3/1/1960,0.9281
4,4/1/1960,0.9303
5,5/1/1960,0.92
6,6/1/1960,0.9123
7,7/1/1960,0.916
8,8/1/1960,0.9292
9,9/1/1960,0.9226
10,10/1/1960,0.9237
11,11/1/1960,0.9116
12,12/1/1960,0.9006
13,1/1/1961,0.9145
14,2/1/1961,0.9167
15,3/1/1961,0.9105
16,4/1/1961,0.9017
17,5/1/1961,0.8929
18,6/1/1961,0.8891
19,7/1/1961,0.8929
20,8/1/1961,0.8935
21,9/1/1961,0.8891
22,10/1/1961,0.8852
23,11/1/1961,0.883
24,12/1/1961,0.8774
25,1/1/1962,0.8774
26,2/1/1962,0.877
27,3/1/1962,0.8609
28,4/1/1962,0.8466
29,5/1/1962,0.8256
30,6/1/1962,0.8047
31,7/1/1962,0.8131
32,8/1/1962,0.819
33,9/1/1962,0.8256
34,10/1/1962,0.8109
35,11/1/1962,0.8124
36,12/1/1962,0.8179
37,1/1/1963,0.8267
38,2/1/1963,0.8031
39,3/1/1963,0.8109
40,4/1/1963,0.808
41,5/1/1963,0.797
42,6/1/1963,0.7992
43,7/1/1963,0.8064
44,8/1/1963,0.8047
45,9/1/1963,0.802
46,10/1/1963,0.8042
47,11/1/1963,0.8069
48,12/1/1963,0.7998
49,1/1/1964,0.9259
50,2/1/1964,0.9414
51,3/1/1964,1.0351
52,4/1/1964,1.0042
53,5/1/1964,1.0203
54,6/1/1964,1.0053
55,7/1/1964,1.0214
56,8/1/1964,1.049
57,9/1/1964,1.0373
58,10/1/1964,1.0379
59,11/1/1964,1.034
60,12/1/1964,1.0053
61,1/1/1965,1.0119
62,2/1/1965,1.0384
63,3/1/1965,0.9899
64,4/1/1965,0.9744
65,5/1/1965,0.9612
66,6/1/1965,0.9811
67,7/1/1965,0.9811
68,8/1/1965,1.0009
69,9/1/1965,0.9987
70,10/1/1965,1.0097
71,11/1/1965,1.0251
72,12/1/1965,1.0318
73,1/1/1966,1.0119
74,2/1/1966,0.9722
75,3/1/1966,0.9546
76,4/1/1966,0.9546
77,5/1/1966,0.9458
78,6/1/1966,0.9237
79,7/1/1966,0.9171
80,8/1/1966,0.9171
81,9/1/1966,0.8995
82,10/1/1966,0.8885
83,11/1/1966,0.8869
84,12/1/1966,0.8728
85,1/1/1967,0.8501
86,2/1/1967,0.8441
87,3/1/1967,0.8228
88,4/1/1967,0.8508
89,5/1/1967,0.8891
90,6/1/1967,0.9092
91,7/1/1967,0.9026
92,8/1/1967,0.8761
93,9/1/1967,0.8607
94,10/1/1967,0.8472
95,11/1/1967,0.8666
96,12/1/1967,0.8512
97,1/1/1968,0.866
98,2/1/1968,0.8691
99,3/1/1968,0.8821
100,4/1/1968,0.886
101,5/1/1968,0.8816
102,6/1/1968,0.888
103,7/1/1968,0.8814
104,8/1/1968,0.8662
105,9/1/1968,0.8538
106,10/1/1968,0.8545
107,11/1/1968,0.8486
108,12/1/1968,0.8267
109,1/1/1969,0.8261
110,2/1/1969,0.8419
111,3/1/1969,0.8294
112,4/1/1969,0.8135
113,5/1/1969,0.8093
114,6/1/1969,0.795
115,7/1/1969,0.7776
116,8/1/1969,0.8126
117,9/1/1969,0.9026
118,10/1/1969,1.0401
119,11/1/1969,1.0247
120,12/1/1969,1.0479
121,1/1/1970,1.1369
122,2/1/1970,1.1453
123,3/1/1970,1.1711
124,4/1/1970,1.2028
125,5/1/1970,1.217
126,6/1/1970,1.2061
127,7/1/1970,1.2121
128,8/1/1970,1.1828
129,9/1/1970,1.1603
130,10/1/1970,1.1197
131,11/1/1970,1.0278
132,12/1/1970,0.9775
133,1/1/1971,1.0031
134,2/1/1971,0.9833
135,3/1/1971,1.0143
136,4/1/1971,0.9894
137,5/1/1971,1.0183
138,6/1/1971,1.0022
139,7/1/1971,0.9927
140,8/1/1971,1.0051
141,9/1/1971,0.9645
142,10/1/1971,0.9431
143,11/1/1971,0.9658
